University Admission year,Do you have meritorious scholarship ?,Do you use University transportation?,What is your preferable learning mode?,Do you have personal Computer?,Do you have any health issues?,Are you engaged with any co-curriculum activities?,How many hour do you study daily?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,What is your current CGPA?
2022,0,0,1,1,1,1,8,1,2,0,0,1,2.68,0,11,30000,3.15
2020,1,1,1,1,1,0,2,1,55,0,0,1,2.68,0,88,40000,3.15
2022,1,1,0,1,1,1,4,1,61,0,0,1,2.68,0,11,35000,3.15
2020,0,1,1,1,2,0,1,2,61,0,0,0,2.68,0,88,40000,3.15
2018,0,1,0,1,1,1,2,3,45,1,0,1,2.68,0,136,30000,3.15
2020,0,0,1,1,1,1,3,1,2,0,0,0,2.68,0,88,35000,3.15
2020,0,1,0,1,1,0,4,2,61,0,0,1,2.68,0,88,25000,3.15
2022,1,1,0,0,2,1,5,2,65,0,0,1,2.68,0,11,600000,3.15
2022,1,1,0,1,1,0,4,4,2,0,0,1,2.68,0,11,35000,3.15
2020,1,0,0,1,1,0,1,5,45,0,0,1,3.49,0,71,40000,3.67
2020,0,0,1,1,1,0,4,2,2,0,0,1,3.07,0,85,20000,2.74
2019,0,1,0,1,1,0,3,8,50,0,0,1,2.68,0,88,20000,3.15
2019,0,1,0,1,1,0,3,1,61,0,0,1,3.76,0,83,92000,3.5
2020,0,1,0,1,1,0,3,1,64,0,0,0,2.7,0,80,35000,2.8
2020,0,0,0,1,1,0,2,2,61,0,0,0,2.68,0,88,20000,3.15
2020,0,1,1,1,1,1,1,1,65,0,0,1,2.68,0,88,15000,3.15
2020,1,1,1,1,1,1,2,1,62,0,0,0,2.68,0,88,30000,3.15
2022,0,1,0,1,1,1,3,1,61,0,0,1,3.65,0,11,45000,3.15
2020,0,1,0,1,1,0,1,15,2,0,0,1,2.68,0,88,90000,3.15
2020,0,0,0,1,1,0,2,2,45,0,0,0,2.68,0,88,35000,3.15
2020,1,1,1,1,1,0,2,3,61,0,0,0,2.68,0,88,20000,3.15
2021,1,1,0,1,1,1,4,2,53,0,0,1,2.68,0,11,100000,3.15
2019,1,0,0,1,1,1,6,3,2,0,0,0,3.84,0,73,30000,3.1
2022,0,0,0,1,1,0,2,6,45,1,0,0,2.68,0,11,70000,3.15
2018,0,1,1,1,1,0,2,4,55,1,0,0,2.68,0,113,40000,3.15
2022,1,0,0,1,1,1,2,1,2,0,0,1,2.68,0,11,10000,3.15
